rank,model_id,sharpe_ratio,direction_accuracy,ic,rank_ic,ic_decay,max_drawdown,total_return,annual_return,win_rate,profit_factor,num_trades,total_costs,buy_hold_return,excess_return,mse,rmse,mae,sortino_ratio,ic_first_half,ic_second_half,ic_mean,ic_std_approx,icir
8,long_term_forecast_WTI-log_Naive_pl5_Naive_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_1,-0.4637875261743064,0.496671354899203,0.0022640360875276,-0.0154864121112435,0.0274419424617614,0.999820477432768,-0.99974543199983,-0.177617528028072,0.4856947563714481,0.9489162494161126,1190,3.2685000000000004,-0.964742623554914,-0.0350028084449158,0.0014983981787642,0.0387091485151024,0.023701656506868,-0.5857877247875525,0.0096521812091287,-0.0177897612526326,-0.00406879002175195,0.01372097123088065,-0.27639412902436217
9,long_term_forecast_WTI-log_Naive_pl5_Naive_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_0,-0.4644807050492536,0.4967651195499297,0.0022492994392153,-0.0155326498506315,0.0274911405441721,0.9998231960275856,-0.999749287042996,-0.1779139906679161,0.4856389214536928,0.9487416001755284,1183,3.2565000000000004,-0.964742623554914,-0.0350066634880817,0.0014984529874117,0.0387098564633318,0.0237027470559437,-0.5866301499002246,0.009651151831908,-0.0178399887122641,-0.00409441844017805,0.01374557027208605,-0.2776710811876124
7,long_term_forecast_WTI-log_Naive_pl5_Naive_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_2,-0.4627536800826781,0.4971401781528364,0.002248230739112,-0.0154995123745837,0.0274871770381289,0.9998162993214054,-0.999739507321554,-0.1771703431541621,0.4857868516166845,0.9491586536959924,1189,3.2685,-0.964742623554914,-0.03499688376664,0.001498425744083,0.0387095045703638,0.0237019277838391,-0.5843216592243442,0.0096484651981705,-0.0178387118399583,-0.004095123320893901,0.0137435885190644,-0.2777562135296061
62,long_term_forecast_WTI-log_Crossformer_pl5_Crossformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_2,-0.929772367660106,0.4889826535396155,0.0009250734826912,0.0035967154959449,-0.010514156884305,0.9999676946849004,-0.9999614624398292,-0.2134973001842491,0.2579783052979091,0.7610713893273031,5365,8.064,-0.964742623554914,-0.0352188388849149,0.0007525427026247,0.0274325117811827,0.0165336458035503,-0.9966620405830788,-0.0032275855121005,0.0072865713722045,0.002029492930052,0.0052570784421525005,0.32435152424808555
35,long_term_forecast_WTI-log_HP_dmodel32_PatchTST_custom_ftMS_sl512_ll48_pl5_dm32_nh4_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_HP_DModel_1,-0.8453331606454009,0.5168307548054384,0.0006727713869497,0.0190706828986765,-0.0260039111528228,0.999999830558462,-0.9999998288751452,-0.3079905274524552,0.3689144561627783,0.8253153314478023,6546,12.9945,-0.964742623554914,-0.035257205320231,0.0007585300311862,0.0275414239135572,0.0165115039274903,-1.0069253118008672,-0.0078375381243193,0.0181663730285035,0.005164417452092101,0.0130019555764114,0.3688354404432201
92,long_term_forecast_WTI-log_HP_dropout0.1_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_HP_Dropout_1,-1.0879249584342907,0.5043600562587904,-0.0009451512419849,0.0117745166443686,-0.0241313589561757,0.999999999829289,-0.9999999998202752,-0.4115234788349168,0.3944579484686437,0.7729285405965122,7188,16.83,-0.964742623554914,-0.0352573762653609,0.0007795620315797,0.027920638094064,0.0169058337091303,-1.3107750077221825,-0.0089867085413287,0.0151446504148469,0.0030789709367591003,0.012065679478087801,0.2356533345183297
23,long_term_forecast_WTI-log_HP_dmodel128_PatchTST_custom_ftMS_sl512_ll48_pl5_dm128_nh4_el2_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_HP_DModel_1,-0.7742794330891578,0.510267229254571,-0.0012699023202986,0.0138560796303637,-0.0371329592589155,0.9999988610362592,-0.9999988484900794,-0.2761050893415162,0.3684910259251052,0.8438120735041207,6178,11.844,-0.964742623554914,-0.0352562249351652,0.0007653172569766,0.0276643680024793,0.0165209447489578,-0.9140854156967584,-0.0095548061937325,0.027578153065183,0.009011673435725249,0.01856647962945775,0.46056692907384233
18,long_term_forecast_WTI-log_TimeMixer_pl5_TimeMixer_custom_ftMS_sl512_ll0_pl5_dm32_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_1,-0.7123464121093812,0.5234880450070324,-0.0018559888126432,0.0347045797745738,-0.0487420760048004,0.9999981331496576,-0.9999975306276776,-0.2629377723906088,0.4154816743440817,0.8763295176081681,5281,10.698,-0.964742623554914,-0.0352549070727634,0.0007722444378147,0.0277892863854897,0.016672858384791,-0.8195130348145226,-0.017369212475099,0.0313728635297013,0.007001825527301149,0.024371038002400147,0.275977101395645
12,long_term_forecast_WTI-log_Crossformer_pl5_Crossformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_1,-0.5161424404852186,0.4970464135021097,-0.0018854000158992,-0.0022383081716115,-0.0377424856320371,0.8669865400082388,-0.8610995637986004,-0.0455719210359011,0.2558869701726844,0.693410059183768,614,0.939,-0.964742623554914,0.1036430597563137,0.0007511118403386,0.0274064196920833,0.0164524036073214,-0.1369405582887957,-0.0165226757561164,0.0212198098759206,0.0023485670599021,0.0188712428160185,0.11818923867252458
68,long_term_forecast_WTI-log_HP_dropout0.3_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_HP_Dropout_2,-0.9379230544524264,0.5133614627285513,-0.0037072878187726,0.0128235369941927,-0.0177857659644537,0.9999999705742204,-0.9999999698820377,-0.3358219994248113,0.3820010587612493,0.8027011268274657,6057,11.7975,-0.964742623554914,-0.0352573463271234,0.0007621239813312,0.0276065930772209,0.0165158742399249,-1.0422466412913305,-0.0092544436834007,0.0085313222810529,-0.0003615607011738997,0.008892882982226801,-0.036547556644859404
67,long_term_forecast_WTI-log_HP_dmodel64_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_HP_DModel_2,-0.9379230544524264,0.5133614627285513,-0.0037072878187726,0.0128235369941927,-0.0177857659644537,0.9999999705742204,-0.9999999698820377,-0.3358219994248113,0.3820010587612493,0.8027011268274657,6057,11.7975,-0.964742623554914,-0.0352573463271234,0.0007621239813312,0.0276065930772209,0.0165158742399249,-1.0422466412913305,-0.0092544436834007,0.0085313222810529,-0.0003615607011738997,0.008892882982226801,-0.036547556644859404
69,long_term_forecast_WTI-log_PatchTST_pl5_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_2,-0.9379230544524264,0.5133614627285513,-0.0037072878187726,0.0128235369941927,-0.0177857659644537,0.9999999705742204,-0.9999999698820377,-0.3358219994248113,0.3820010587612493,0.8027011268274657,6057,11.7975,-0.964742623554914,-0.0352573463271234,0.0007621239813312,0.0276065930772209,0.0165158742399249,-1.0422466412913305,-0.0092544436834007,0.0085313222810529,-0.0003615607011738997,0.008892882982226801,-0.036547556644859404
76,long_term_forecast_WTI-log_HP_dropout0.1_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_HP_Dropout_0,-0.9623419899313164,0.5016408813877168,-0.0038866837072145,-0.0019292932255247,-0.0525316483729476,0.9999999841094486,-0.9999999825381244,-0.3443217836923153,0.3528663770265974,0.7916850681705146,7149,14.721,-0.964742623554914,-0.0352573589832101,0.000759639507999,0.0275615585190502,0.0166090599600974,-1.213725153543341,-0.0213695706934087,0.0311620776795389,0.004896253493065101,0.026265824186473802,0.1795747474779825
39,long_term_forecast_WTI-log_HP_dmodel32_PatchTST_custom_ftMS_sl512_ll48_pl5_dm32_nh4_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_HP_DModel_0,-0.8655780988490619,0.5112986404125645,-0.0039946705630925,0.0127342684144087,-0.0355257304395159,0.9999998643812552,-0.9999998617130988,-0.3114656236807007,0.370166891261532,0.8234138795582334,6683,13.428,-0.964742623554914,-0.0352572381581846,0.0007613369191156,0.0275923344267141,0.0165590726921798,-1.0624752860510116,-0.0157276608632538,0.019798069576262,0.002035204356504101,0.017762865219757902,0.1084698063257932
21,long_term_forecast_WTI-log_Autoformer_pl5_Autoformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_1,-0.7496276336937788,0.5116736990154712,-0.0083073610669526,0.0138027872181624,-0.0583314284784918,0.99999979847583,-0.9999990038296938,-0.2785795100911036,0.4142124836667001,0.8648234974356156,4566,8.7525,-0.964742623554914,-0.0352563802747796,0.0007667425904307,0.0276901171978508,0.0166503563686135,-0.8527953824738513,-0.0243745178009237,0.033956910677568,0.0047911964383221504,0.02916571423924585,0.15882920590982602
78,long_term_forecast_WTI-log_TimesNet_pl5_TimesNet_custom_ftMS_sl512_ll48_pl5_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_0,-0.9686495452269582,0.4959212376933896,-0.0085521216220213,-0.0049250478373912,0.0206315053391966,0.9999999825173288,-0.9999999819098466,-0.3437739178219855,0.3626385113945222,0.7954267037825975,6642,13.5585,-0.964742623554914,-0.0352573583549324,0.0007603750157669,0.0275748982911436,0.0166366703510598,-1.1246048944583102,-0.0021006271607441,-0.0227321324999407,-0.012416379830342399,0.0103157526695983,-1.0972650421832852
