window_type,arch_name,base_key,model_id,run_idx,n_days,final_strat_pnl,final_bh_pnl,strat_ann_return,strat_ann_vol,strat_sharpe,bh_ann_return,bh_ann_vol,bh_sharpe
POST,FedFormer,long_term_forecast_WTI-log_FEDformer_pl5_FEDformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_FEDformer_pl5_FEDformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_2,2,2133,-0.6042912206317121,0.16309317832036438,-0.07139305560205886,0.4350686115031496,-0.1640960844207949,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,WTI-log_TiDE_pl5_TiD,long_term_forecast_WTI-log_TiDE_pl5_TiDE_custom_ftMS_sl512_ll48_pl5_dm256_nh8_el2_dl2_df256_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_TiDE_pl5_TiDE_custom_ftMS_sl512_ll48_pl5_dm256_nh8_el2_dl2_df256_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_0,0,2133,0.030834002559961785,0.16309317832036438,0.0036428357454805385,0.43509180592465474,0.008372568032484096,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,WTI-log_TiDE_pl5_TiD,long_term_forecast_WTI-log_TiDE_pl5_TiDE_custom_ftMS_sl512_ll48_pl5_dm256_nh8_el2_dl2_df256_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_TiDE_pl5_TiDE_custom_ftMS_sl512_ll48_pl5_dm256_nh8_el2_dl2_df256_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_1,1,2133,0.8280701578030446,0.16309317832036438,0.09783107349571857,0.4350481980378233,0.2248741034601713,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,WTI-log_TiDE_pl5_TiD,long_term_forecast_WTI-log_TiDE_pl5_TiDE_custom_ftMS_sl512_ll48_pl5_dm256_nh8_el2_dl2_df256_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_TiDE_pl5_TiDE_custom_ftMS_sl512_ll48_pl5_dm256_nh8_el2_dl2_df256_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_2,2,2133,0.1647404471835011,0.16309317832036438,0.019463006418303824,0.43509013819360887,0.04473327411903569,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,WTI-log_Crossformer_,long_term_forecast_WTI-log_Crossformer_pl5_Crossformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_Crossformer_pl5_Crossformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_0,0,2133,-1.3265058587815644,0.16309317832036438,-0.15671799175478426,0.43497979738914555,-0.36028797818989233,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,WTI-log_Crossformer_,long_term_forecast_WTI-log_Crossformer_pl5_Crossformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_Crossformer_pl5_Crossformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_1,1,2133,-0.7773327943320117,0.16309317832036438,-0.09183678582825457,0.4350533856139005,-0.21109314135934004,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,WTI-log_Crossformer_,long_term_forecast_WTI-log_Crossformer_pl5_Crossformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_Crossformer_pl5_Crossformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_2,2,2133,-0.31769552842746474,0.16309317832036438,-0.037533648928139304,0.43508543904488783,-0.08626730651003688,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,WTI-log_TSMixer_pl5_,long_term_forecast_WTI-log_TSMixer_pl5_TSMixer_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_TSMixer_pl5_TSMixer_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_0,0,2133,0.2627502389733746,0.16309317832036438,0.031042222325968365,0.43508747004076076,0.07134708412324585,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,WTI-log_TSMixer_pl5_,long_term_forecast_WTI-log_TSMixer_pl5_TSMixer_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_TSMixer_pl5_TSMixer_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_1,1,2133,0.0939568265020513,0.16309317832036438,0.011100384565643155,0.43509130429763065,0.025512770436914484,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,WTI-log_TSMixer_pl5_,long_term_forecast_WTI-log_TSMixer_pl5_TSMixer_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_TSMixer_pl5_TSMixer_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_2,2,2133,1.369295409196473,0.16309317832036438,0.16177329728903478,0.4349724496679753,0.3719161924221181,0.019268392375401795,0.435090172583533,0.04428597470034204
