rank,model_id,composite_score,msIC,msIR,direction_accuracy,ic,rank_ic,ic_second_half,ic_first_half,ic_decay,ic_std,ic_positive_ratio,sharpe_ratio,sortino_ratio,total_return,annual_return,max_drawdown,win_rate,profit_factor,num_trades,total_costs,buy_hold_return,excess_return,mse,rmse,mae
59,long_term_forecast_WTI-log_Nonstationary_Transformer_pl5_Nonstationary_Transformer_custom_ftMS_sl512_ll48_pl5_dm128_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_2,0.07405825930756704,0.009393691139234144,0.030402414594961475,0.5053914674167839,0.028039128890644024,0.022325856487753117,0.025709936247622658,0.031027632455126606,0.005317696207503948,0.30897845662531487,0.504930966469428,0.12747517035753597,0.14924103739757535,14.10217548214595,0.06625028797922905,0.9170375281839673,0.44867017859437236,1.0954198143928942,1920,2.9370000000000003,-0.9647426235549141,15.066918105700864,0.0007528179187703151,0.02743752756299873,0.016514503660302295
60,long_term_forecast_WTI-log_TimeMixer_pl5_TimeMixer_custom_ftMS_sl512_ll0_pl5_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_0,0.07213286701127826,0.009911247680128795,0.059118444330346714,0.5204875761837787,0.00488693879551494,0.015679982797734606,0.00018714452541444249,0.009312327029768376,0.009125182504353933,0.16765068486487808,0.49506903353057197,-0.889287570053508,-1.0769902061737893,-0.9999999961568382,-0.3673591945078266,0.9999999966563946,0.4759493670886076,0.8408427904809238,6111,18.292499999999997,-0.9647426235549141,-0.035257372601924075,0.19996079159876531,0.44716975702608214,0.35399234222269005
61,long_term_forecast_WTI-log_TSMixer_pl5_TSMixer_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_0,0.07177222369103488,0.011810589274711403,0.05355234752578823,0.5104547585560244,0.0034741011278773886,0.01508053935807935,0.007657632729850909,-0.0008941921502580454,-0.008551824880108954,0.220542885986912,0.5108481262327417,-0.8155929443864363,-0.8702863280276728,-0.9999972081434634,-0.2607970034090411,0.9999974533368123,0.3455354934454613,0.8220758560900583,6177,11.355,-0.9647426235549141,-0.03525458458854924,0.0007540657511066662,0.027460257666428883,0.01646353803380964
62,long_term_forecast_WTI-log_HP_dropout0.1_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_HP_Dropout_2,0.07148059022977969,0.015593327518605374,0.06172333286588396,0.4978902953586498,0.0030513736244044765,0.005584112952407929,0.024390137892570926,-0.005881831087267397,-0.030271968979838325,0.2526326235896474,0.5364891518737672,-1.018024913381493,-1.2557197521831902,-0.9999999974351887,-0.3733757231225885,0.9999999977786304,0.36893301243481746,0.7859825895217184,7291,15.9195,-0.9647426235549141,-0.03525737388027461,0.0007672179419370595,0.02769869928240421,0.016760858572807964
63,long_term_forecast_WTI-log_FEDformer_pl5_FEDformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_2,0.07113240894946153,0.003895919535061766,0.011310203792354931,0.5195499296765119,-0.029174093496301397,0.018258027827017822,0.03892505799473698,-0.05274398860219011,-0.0916690465969271,0.3444605956344651,0.5088757396449705,-0.724467172004282,-0.7716291133894589,-0.9999982889698531,-0.26929947137118226,0.9999998408280649,0.42202412165705294,0.8683899959094632,4166,7.7955000000000005,-0.9647426235549141,-0.035255665414938964,0.0007698666507896881,0.027746470961001295,0.016637694332963124
64,long_term_forecast_WTI-log_HP_dmodel128_PatchTST_custom_ftMS_sl512_ll48_pl5_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_HP_DModel_0,0.06906642652835969,0.012944335086892,0.03900079832529811,0.5098921706516644,-0.013115962304077366,0.0030914100058583825,0.019995314200417946,-0.022965604396838916,-0.04296091859725686,0.33189923393172127,0.5167652859960552,-0.9512665594677161,-1.1070787912215578,-0.999999977129489,-0.34012802671735953,0.9999999770187971,0.3599427438890112,0.7895577775583047,6342,12.161999999999999,-0.9647426235549141,-0.03525735357457482,0.0007664586126460643,0.027684988940688857,0.016522548452208727
65,long_term_forecast_WTI-log_iTransformer_pl5_iTransformer_custom_ftMS_sl512_ll48_pl5_dm128_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_2,0.06650379630159467,0.012934646686438242,0.058299140057203755,0.5057665260196906,0.009400192063641994,0.01076738503531541,0.007065278085821405,0.010797875064239707,0.0037325969784183025,0.22186685213103702,0.5305719921104537,-0.9415526023904137,-1.1180612384185944,-0.9999999652154165,-0.33355743646696245,0.9999999668634136,0.38259310894244175,0.8153862528724113,6837,14.841000000000001,-0.9647426235549141,-0.03525734166050232,0.0007659156122555396,0.027675180437632917,0.016739350195521297
66,long_term_forecast_WTI-log_HP_dropout0.1_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_HP_Dropout_0,0.06408442002576693,0.013636789469904237,0.05315149395702906,0.5016408813877168,-0.0038866837072145267,-0.0019292932255247596,0.031162077679538967,-0.021369570693408717,-0.05253164837294769,0.2565645564154614,0.5226824457593688,-0.9623419899313165,-1.213725153543341,-0.9999999825381243,-0.34432178369231536,0.9999999841094486,0.35286637702659746,0.7916850681705146,7149,14.721,-0.9647426235549141,-0.03525735898321014,0.0007596395079990313,0.027561558519050247,0.016609059960097407
67,long_term_forecast_WTI-log_Autoformer_pl5_Autoformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_1,0.06365609798853784,0.010648035472403629,0.03445628482441222,0.5022972339428036,-0.029540178115774418,0.0006539474005524278,0.04549533359056183,-0.0608905508899078,-0.10638588448046962,0.3090302836381104,0.514792899408284,-0.8667918848874206,-0.97867734435587,-0.9999999634355007,-0.3327711339779418,0.9999999852078253,0.4101354741595585,0.830010798056513,4303,8.346,-0.9647426235549141,-0.03525733988058655,0.0007719466939007779,0.027783928698094117,0.016735293417317283
68,long_term_forecast_WTI-log_PatchTST_pl5_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_1,0.06268728343294742,0.014402518741324605,0.04514091211110365,0.5106422878574778,-0.03810443355368482,0.00121459300585115,-0.0009624625344793955,-0.050955968829867734,-0.04999350629538834,0.3190568836065213,0.5167652859960552,-0.9894642094354078,-1.1066271954504505,-0.9999999768677246,-0.33995055920398476,0.9999999778579305,0.3579871664978048,0.7795669650834499,6239,11.856,-0.9647426235549141,-0.035257353312810435,0.0007685093811486196,0.0277220017521935,0.016585456096000938
