rank,model_id,sharpe_ratio,direction_accuracy,ic,rank_ic,ic_decay,max_drawdown,total_return,annual_return,win_rate,profit_factor,num_trades,total_costs,buy_hold_return,excess_return,mse,rmse,mae,sortino_ratio,ic_first_half,ic_second_half
22,long_term_forecast_RECENT10_Crossformer_pl5_Crossformer_custom_ftMS_sl256_ll48_pl5_dm64_nh4_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_RECENT10_0,-1.0464015440470087,0.4923933209647495,-0.005884786822161415,-0.012403719107137149,0.09010239803684642,0.6582841018068017,-0.5505496833053464,-0.07205233609149087,0.2647849462365591,0.7401086776919105,644,0.966,-0.8005570403115179,0.2500073570061715,0.00019951278387060126,0.014124899428689794,0.01071986788005441,-0.8495203693623824,0.041074757841089014,-0.049027640195757394
23,long_term_forecast_POST_COVID_iTransformer_pl5_iTransformer_custom_ftMS_sl128_ll48_pl5_dm32_nh4_el2_dl1_df64_expand2_dc4_fc3_ebtimeF_dtTrue_POST_COVID_0,-1.0482584175192655,0.5212543554006969,0.043504945064731154,0.052474249505532845,0.012906295729485394,0.7714088584716542,-0.7180314565345663,-0.1993367922616215,0.4163623082542001,0.8395255754165318,898,2.064,-0.681777476083663,-0.036253980450903334,0.00022924760953762135,0.01514092498949854,0.011389276926916178,-1.4403778660871271,0.05055848165388459,0.037652185924399194
24,long_term_forecast_RECENT10_PatchTST_pl5_PatchTST_custom_ftMS_sl256_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_RECENT10_0,-1.0645108565665977,0.5179962894248609,0.04509866075007677,0.04337415797582099,-0.0901708747785659,0.9036728375366625,-0.8958024165814639,-0.1905997905711636,0.3910482921083628,0.8362916884855529,1684,3.6465,-0.8005570403115179,-0.095245376269946,0.00020749709096025586,0.014404759316290427,0.010969076384676583,-1.497197491921368,0.0019789713197305723,0.09214984609829648
25,long_term_forecast_POST_COVID_Naive_pl5_Naive_custom_ftMS_sl128_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_POST_COVID_2,-1.0798078935717794,0.49477351916376305,-0.02660334257453254,-0.03517620218233746,-0.04584797169174908,0.8148181865609517,-0.7714177409806126,-0.22831223728326444,0.47601744186046513,0.8401878634913259,168,0.4605,-0.681777476083663,-0.08964026489694954,0.0004459575509297937,0.0211177070471629,0.016058324873613337,-1.533566162681843,-0.051685424998101914,-0.005837453306352832
26,long_term_forecast_POST_COVID_Naive_pl5_Naive_custom_ftMS_sl128_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_POST_COVID_1,-1.0852313842167105,0.49477351916376305,-0.026588211327745463,-0.03515566389838191,-0.04585658532911152,0.8164449581852974,-0.7734257736588539,-0.22950704131977062,0.4759825327510917,0.839087188573601,166,0.4575,-0.681777476083663,-0.09164829757519088,0.00044594141665194525,0.021117325035428736,0.01605803223251442,-1.5409033775209628,-0.05167511610698276,-0.00581853077787124
27,long_term_forecast_POST_COVID_Naive_pl5_Naive_custom_ftMS_sl128_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_POST_COVID_0,-1.0852313842167105,0.49477351916376305,-0.026563242504257834,-0.03503461492791289,-0.04578303947569182,0.8164449581852974,-0.7734257736588539,-0.22950704131977062,0.4759825327510917,0.839087188573601,166,0.4575,-0.681777476083663,-0.09164829757519088,0.0004459278588199303,0.021117004020928972,0.016057643544020624,-1.5409033775209628,-0.05160882304300041,-0.00582578356730859
28,long_term_forecast_RECENT10_Transformer_pl5_Transformer_custom_ftMS_sl256_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_RECENT10_1,-1.0988804207949365,0.5012987012987012,0.01224420979114444,0.017850325833423948,-0.002687144274318187,0.9400031728618341,-0.9209644026740627,-0.21125018718597022,0.4274582560296846,0.8356321432835697,740,1.1115,-0.8005570403115179,-0.12040736236254479,0.00020778812636137344,0.014414857833547075,0.010867598098270223,-1.421262985049778,0.015210849350354194,0.01789799362467238
29,long_term_forecast_POST_COVID_Autoformer_pl5_Autoformer_custom_ftMS_sl128_ll48_pl5_dm32_nh4_el2_dl1_df64_expand2_dc4_fc3_ebtimeF_dtTrue_POST_COVID_1,-1.1098992161299137,0.5073170731707317,-0.02899968811615602,-0.02187365008155007,0.040248281512688916,0.7963179182944915,-0.7631196371874763,-0.22346470377861405,0.41792114695340504,0.8285225692235282,642,1.4024999999999999,-0.681777476083663,-0.08134216110381332,0.0002421129512629869,0.015559979153680988,0.011842609198494001,-1.5467418021425992,-0.007938498629273422,-0.048186780141962336
30,long_term_forecast_POST_COVID_Koopa_pl5_Koopa_custom_ftMS_sl128_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_POST_COVID_0,-1.1108876782909591,0.5024390243902439,0.017686504442446363,0.015105261142095951,-0.014813072214610113,0.7581753100846595,-0.7448861394638637,-0.21328630193342746,0.3898678414096916,0.8251781315893684,740,1.5375,-0.681777476083663,-0.06310866338020071,0.00023167666716762458,0.015220928590845718,0.011548221511951617,-1.5640268040570195,0.009713770325319707,0.02452684253992982
31,long_term_forecast_POST_COVID_TimesNet_pl5_TimesNet_custom_ftMS_sl128_ll48_pl5_dm32_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_POST_COVID_0,-1.1151746697221534,0.5156794425087108,0.04004076197940888,0.028232475384809823,-0.09973676329854059,0.7448717718314946,-0.7361152283543808,-0.2086024319542258,0.37068303914044515,0.8165691179517326,765,1.4324999999999999,-0.681777476083663,-0.0543377522707178,0.0002224281291067439,0.014914024577783956,0.011197502670572719,-1.4977017148277598,-0.014569573441352634,0.08516718985718795
32,long_term_forecast_RECENT10_TimesNet_pl5_TimesNet_custom_ftMS_sl256_ll48_pl5_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_RECENT10_0,-1.1412235715876293,0.4987012987012987,0.027707000433564305,0.04382953843518034,-0.005394151456338144,0.9364326271285143,-0.9203032369220361,-0.2106355376130632,0.4038236441669918,0.8227609412599183,1257,2.535,-0.8005570403115179,-0.11974619661051822,0.00021377084142343102,0.014620904261482291,0.011106495366612599,-1.4816928409047894,0.027200013434413525,0.03259416489075167
33,long_term_forecast_POST_COVID_FEDformer_pl5_FEDformer_custom_ftMS_sl128_ll48_pl5_dm32_nh4_el2_dl1_df64_expand2_dc4_fc3_ebtimeF_dtTrue_POST_COVID_0,-1.1471991863281497,0.5358885017421603,0.00927489542476564,0.0412496620910943,-0.0806859953297446,0.8143910495324816,-0.7689847705752861,-0.22687612868517126,0.4406158357771261,0.8201621097773996,623,1.3935,-0.681777476083663,-0.08720729449162312,0.0002417271966062357,0.015547578480465557,0.011720716734056986,-1.4235081924568402,-0.032527077818330086,0.048158917511414524
34,long_term_forecast_POST_COVID_TiDE_pl5_TiDE_custom_ftMS_sl128_ll48_pl5_dm256_nh8_el2_dl2_df256_expand2_dc4_fc1_ebtimeF_dtTrue_POST_COVID_0,-1.156435670441563,0.5198606271777003,0.016657368983284834,0.012154700608825357,-0.03730711903572888,0.8297420413788068,-0.7755868902985399,-0.2308027252630407,0.41630901287553645,0.819057707350942,848,1.9485000000000001,-0.681777476083663,-0.09380941421487687,0.00023848560158855317,0.015442979038661975,0.011805992707610888,-1.6285682048851486,-0.0042888076728472046,0.03301831136288167
35,long_term_forecast_RECENT10_DLinear_pl5_DLinear_custom_ftMS_sl256_ll48_pl5_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_RECENT10_2,-1.1661394488778907,0.4972170686456401,0.024264856392840286,0.022110255202986734,-0.0813157072481721,0.9055396664201079,-0.9005482080430035,-0.19412019943210534,0.33719433719433717,0.807116170322207,1731,3.3645,-0.8005570403115179,-0.09999116773148564,0.00020214175499799276,0.01421765645238317,0.010825434390415571,-1.6129079552730956,-0.0149642776729655,0.0663514295752066
36,long_term_forecast_POST_COVID_DLinear_pl5_DLinear_custom_ftMS_sl128_ll48_pl5_dm32_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_POST_COVID_2,-1.1738942174496818,0.48989547038327524,0.03530979991343677,-0.0009990824372061965,-0.0832825665347998,0.8217160785782056,-0.6946925625245972,-0.18807697475083274,0.32854864433811803,0.8060572623364631,910,1.7385,-0.681777476083663,-0.012915086440934198,0.0002182687476627756,0.014773921201318749,0.011210466695051866,-1.795815901383446,-0.011312181131059302,0.0719703854037405
37,long_term_forecast_RECENT10_TimeMixer_pl5_TimeMixer_custom_ftMS_sl256_ll0_pl5_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_RECENT10_0,-1.1808724172133223,0.5072356215213358,-0.0031996746058464247,0.00977430448087103,-0.003209116672210057,0.8920647672385699,-0.8826792879421365,-0.18157197832532457,0.366600790513834,0.7949557497295945,983,1.542,-0.8005570403115179,-0.0821222476306186,0.0002030852994869333,0.014250799959543791,0.010768481870608476,-1.363302860870552,-0.005315777884597275,-0.0021066612123872177
38,long_term_forecast_POST_COVID_Transformer_pl5_Transformer_custom_ftMS_sl128_ll48_pl5_dm32_nh4_el2_dl1_df64_expand2_dc4_fc3_ebtimeF_dtTrue_POST_COVID_2,-1.189431548732641,0.5073170731707317,0.02406191116524477,0.00993530502493689,-0.1094465115094733,0.7085102427333414,-0.7085102427333414,-0.19465377362392877,0.35993349958437243,0.798092953302436,663,1.0635,-0.681777476083663,-0.026732766649678386,0.00022048002568960943,0.01484856981966982,0.01112918619731747,-1.430142122539959,-0.03546216352338277,0.07398434798609052
39,long_term_forecast_RECENT10_iTransformer_pl5_iTransformer_custom_ftMS_sl256_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_RECENT10_0,-1.1969743887771778,0.5061224489795918,0.03224756929093667,0.03058439317249451,-0.04466782416499804,0.9391440862224087,-0.9321065961648368,-0.22237843948348568,0.38580246913580246,0.8137532800249168,1672,3.7215,-0.8005570403115179,-0.13154955585331896,0.0002108817607016514,0.014521768511502013,0.011049111923102891,-1.7030288971293763,0.012221347185315434,0.056889171350313475
40,long_term_forecast_RECENT10_Autoformer_pl5_Autoformer_custom_ftMS_sl256_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_RECENT10_0,-1.201022547859459,0.5027829313543599,-0.01973670633979231,-0.001899797217331175,-0.02827902035941254,0.941862737950797,-0.9357074151066729,-0.22633080728839527,0.412875867386276,0.814747572257353,1160,2.4435000000000002,-0.8005570403115179,-0.13515037479515501,0.0002197494236927377,0.014823947641999336,0.011309150946978708,-1.690285585312076,-0.03533302016805783,-0.007053999808645291
41,long_term_forecast_RECENT10_Autoformer_pl5_Autoformer_custom_ftMS_sl256_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_RECENT10_1,-1.2063787709972122,0.4849721706864564,-0.028629635697485712,-0.029595429215416854,-0.1596409820773694,0.9453848715086351,-0.9348443052195851,-0.22536548104253729,0.3875432525951557,0.814206279136827,1221,2.5155,-0.8005570403115179,-0.1342872649080672,0.0002223540386436517,0.014911540451732399,0.011515902165108822,-1.803489995150646,-0.1107438176434044,0.048897164433965
42,long_term_forecast_RECENT10_iTransformer_pl5_iTransformer_custom_ftMS_sl256_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_RECENT10_1,-1.2105430039887197,0.49907235621521334,0.018724355595649236,0.028226744848469883,-0.08072364692493027,0.9441689600490534,-0.9378815189403538,-0.22881546618804482,0.388631090487239,0.8097583255437911,1547,3.3795,-0.8005570403115179,-0.1373244786288359,0.00021469900364504536,0.014652610813266192,0.01114779053981961,-1.6469793499872474,-0.020306505990846168,0.060417140934084096
43,long_term_forecast_RECENT10_iTransformer_pl5_iTransformer_custom_ftMS_sl256_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_RECENT10_2,-1.2204477870243113,0.4923933209647495,0.029095323437646838,0.033143332128836925,-0.12163938386692062,0.9379569022249821,-0.932346012378764,-0.22263526086652297,0.38751926040061635,0.8118533583320949,1564,3.4065000000000003,-0.8005570403115179,-0.13178897206724616,0.00021395405236586908,0.014627168296217456,0.011132283273849509,-1.7103244323097844,-0.026850714471714096,0.09478866939520653
44,long_term_forecast_RECENT10_Koopa_pl5_Koopa_custom_ftMS_sl256_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_RECENT10_2,-1.2439588717214392,0.513543599257885,0.026735866927111402,0.031703903866370384,0.014745670601620652,0.944798884998918,-0.9416626329742914,-0.2333308029081529,0.4044548651817116,0.8061576391664631,1533,3.4755000000000003,-0.8005570403115179,-0.14110559266277356,0.00021638713270893828,0.014710103082879409,0.01115685013840047,-1.7295114397445255,0.03530656207882699,0.02056089147720634
45,long_term_forecast_RECENT10_Crossformer_pl5_Crossformer_custom_ftMS_sl256_ll48_pl5_dm64_nh4_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_RECENT10_2,-1.2539293465232808,0.5038961038961038,-0.004019097061000327,0.0024227189215538215,0.05916802834431439,0.5917484873684016,-0.5731936009800889,-0.0765270258977212,0.24125874125874125,0.6520305374386929,553,0.8415,-0.8005570403115179,0.227363439331429,0.00019972195247346418,0.014132301740108162,0.010708161938088406,-0.8249463637778678,0.027258923687777152,-0.031909104656537235
46,long_term_forecast_POST_COVID_Nonstationary_Transformer_pl5_Nonstationary_Transformer_custom_ftMS_sl128_ll48_pl5_dm32_nh4_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_POST_COVID_0,-1.2738491714260791,0.50801393728223,-0.0061648144258172775,0.02779370332402814,-0.06714294542441665,0.6512569200408229,-0.5862067872913639,-0.1435472270764354,0.2899728997289973,0.7306746812677162,577,0.9420000000000001,-0.681777476083663,0.09557068879229913,0.00021734315786940388,0.01474256279855724,0.011075983504160414,-1.2100541635197464,-0.044998065613753614,0.02214487981066303
47,long_term_forecast_POST_COVID_TiDE_pl5_TiDE_custom_ftMS_sl128_ll48_pl5_dm256_nh8_el2_dl2_df256_expand2_dc4_fc1_ebtimeF_dtTrue_POST_COVID_2,-1.2865343205105526,0.49477351916376305,0.01899536216894616,-0.005510438844336207,0.010996098933446226,0.834596972636714,-0.8118237619086293,-0.25422727092071506,0.38081603435934147,0.7976648978758144,852,2.0025,-0.681777476083663,-0.13004628582496625,0.00023828986646142592,0.015436640387773044,0.011961267655253688,-2.0691478168567135,0.025129074577828366,0.01413297564438214
48,long_term_forecast_POST_COVID_Transformer_pl5_Transformer_custom_ftMS_sl128_ll48_pl5_dm32_nh4_el2_dl1_df64_expand2_dc4_fc3_ebtimeF_dtTrue_POST_COVID_0,-1.2937911208043311,0.5038327526132405,0.006080531079379139,0.00539477470125722,0.0362384747077975,0.7997784471165478,-0.802459960106656,-0.2478401098375782,0.40029218407596784,0.792382851382987,579,1.0005,-0.681777476083663,-0.12068248402299298,0.00022935382396129065,0.015144432110887838,0.011310800914911998,-1.6445303382497878,0.03184952728188882,-0.004388947425908678
49,long_term_forecast_POST_COVID_Transformer_pl5_Transformer_custom_ftMS_sl128_ll48_pl5_dm32_nh4_el2_dl1_df64_expand2_dc4_fc3_ebtimeF_dtTrue_POST_COVID_1,-1.3380704764524067,0.48989547038327524,-0.00824584834284621,-0.02223785690242076,0.026757700351288626,0.8072474917661485,-0.8014516154533083,-0.24716728693875611,0.384206529992407,0.7766785801701227,623,1.0545,-0.681777476083663,-0.11967413936964533,0.00022551007673509782,0.015016992932511417,0.011277047363708824,-1.675529127224251,0.00790661167152096,-0.018851088679767668
50,long_term_forecast_RECENT10_Nonstationary_Transformer_pl5_Nonstationary_Transformer_custom_ftMS_sl256_ll48_pl5_dm64_nh4_el2_dl1_df64_expand2_dc4_fc3_ebtimeF_dtTrue_RECENT10_2,-1.348265673961922,0.46901669758812614,-0.02267217088642205,-0.04065690815844407,-0.12485180525593648,0.9041880530379561,-0.8580381704718762,-0.16685126726901922,0.288231148696265,0.7189517482091208,994,1.5615,-0.8005570403115179,-0.057481130160358385,0.00020125138247816898,0.01418630968498041,0.010816271304954576,-1.508058722001252,-0.08988497849894761,0.03496682675698886
51,long_term_forecast_POST_COVID_Autoformer_pl5_Autoformer_custom_ftMS_sl128_ll48_pl5_dm32_nh4_el2_dl1_df64_expand2_dc4_fc3_ebtimeF_dtTrue_POST_COVID_0,-1.360693976574167,0.4710801393728223,-0.009618138192096937,-0.023659333565669585,0.09530150243333584,0.8439033816470289,-0.8242069902078747,-0.2630892102555825,0.36926438455935906,0.7793627639920118,667,1.3665,-0.681777476083663,-0.14242951412421168,0.00023672653775164368,0.01538592011391076,0.011797484006672488,-1.924991296504095,0.04213012632961294,-0.0531713761037229
52,long_term_forecast_POST_COVID_PatchTST_pl5_PatchTST_custom_ftMS_sl128_ll48_pl5_dm32_nh4_el2_dl1_df64_expand2_dc4_fc3_ebtimeF_dtTrue_POST_COVID_1,-1.3641334559778502,0.526829268292683,0.018343317792714132,0.01712665874463681,-0.0118697244178415,0.8317481826384048,-0.8292861632543284,-0.2668735343116446,0.3984149855907781,0.7789096660505287,951,2.2395,-0.681777476083663,-0.14750868717066534,0.00023795817955705163,0.015425893152652512,0.01170999529200851,-1.9160576126843807,0.012089961074483787,0.023959685492325286
53,long_term_forecast_RECENT10_TSMixer_pl5_TSMixer_custom_ftMS_sl256_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_RECENT10_0,-1.391790373770858,0.5038961038961038,0.027945639805302857,0.023954675894989865,-0.005822624757214144,0.9624710767050204,-0.9622219107021632,-0.26385612955364923,0.39088820826952525,0.7789982227379777,1654,3.8219999999999996,-0.8005570403115179,-0.16166487039064537,0.00021608300794437774,0.01469976217305497,0.011270561003604044,-2.049641940231845,0.025745704638916254,0.0315683293961304
54,long_term_forecast_POST_COVID_TSMixer_pl5_TSMixer_custom_ftMS_sl128_ll48_pl5_dm32_nh4_el2_dl1_df64_expand2_dc4_fc3_ebtimeF_dtTrue_POST_COVID_0,-1.4013427427394336,0.5066202090592334,0.00767028238324336,0.004601085255996022,-0.06789420425656757,0.864947815624081,-0.8522461598704643,-0.2852356106067969,0.3895639742673338,0.7739801227785466,907,2.1345,-0.681777476083663,-0.17046868378680125,0.00024320477603341392,0.015595024079282914,0.011853386339057831,-2.0503077300279724,-0.029890082386258766,0.038004121870308806
